QuoteID,Quote,Audience,Topic,Theme,SourceType,InspiredBy,Author,OriginalTheme
SG051,"A difficult life can still contain responsibility, love, and purpose.",All,Resilience,Resilience,inspired_by,Man's Search for Meaning,Viktor E. Frankl,Meaning & Resilience
SG052,"Ask what this season is asking you to become, not only when it will end.",All,Resilience,Resilience,inspired_by,Man's Search for Meaning,Viktor E. Frankl,Meaning & Resilience
SG053,Hope becomes stronger when it is connected to someone or something beyond immediate suffering.,All,Resilience,Resilience,inspired_by,Man's Search for Meaning,Viktor E. Frankl,Meaning & Resilience
SG054,"Pain should never be romanticized, but it can still be met with dignity.",All,Resilience,Resilience,inspired_by,Man's Search for Meaning,Viktor E. Frankl,Meaning & Resilience
SG055,A reason to continue can change how a person carries what cannot immediately be changed.,All,Resilience,Resilience,inspired_by,Man's Search for Meaning,Viktor E. Frankl,Meaning & Resilience
SG056,Your freedom is most visible in the way you choose to meet what you did not choose.,All,Resilience,Resilience,inspired_by,Man's Search for Meaning,Viktor E. Frankl,Meaning & Resilience
SG057,"Ability is a starting point, not a final verdict.",All,Growth,Growth,inspired_by,Mindset,Carol S. Dweck,Growth Mindset
SG058,Replace the need to look talented with the willingness to keep learning.,All,Growth,Growth,inspired_by,Mindset,Carol S. Dweck,Growth Mindset
SG059,Feedback hurts less when you treat it as information instead of identity.,All,Growth,Becoming,inspired_by,Mindset,Carol S. Dweck,Growth Mindset
SG060,Struggle can be evidence that your brain is being asked to grow.,All,Growth,Growth,inspired_by,Mindset,Carol S. Dweck,Growth Mindset
SG061,Do not turn one poor performance into a permanent description of yourself.,All,Growth,Discipline & Action,inspired_by,Mindset,Carol S. Dweck,Growth Mindset
SG062,Effort becomes more intelligent when you study what is and is not working.,All,Growth,Growth,inspired_by,Mindset,Carol S. Dweck,Growth Mindset
SG063,People improve faster when mistakes become material for learning rather than reasons for shame.,All,Growth,Growth,inspired_by,Mindset,Carol S. Dweck,Growth Mindset
SG064,Your current level describes today; it does not have authority over your future.,All,Growth,Growth,inspired_by,Mindset,Carol S. Dweck,Growth Mindset
SG065,Your energy becomes more useful when you spend it on problems you are willing to own.,All,Integrity & Character,Growth,inspired_by,The Subtle Art of Not Giving a F*ck,Mark Manson,Values & Responsibility
SG066,A good life is not problem-free; it contains problems worth solving.,All,Integrity & Character,Growth,inspired_by,The Subtle Art of Not Giving a F*ck,Mark Manson,Values & Responsibility
SG067,Choose values that still matter when nobody is impressed.,All,Integrity & Character,Growth,inspired_by,The Subtle Art of Not Giving a F*ck,Mark Manson,Values & Responsibility
SG068,You cannot care deeply about everything without exhausting your attention.,All,Integrity & Character,Growth,inspired_by,The Subtle Art of Not Giving a F*ck,Mark Manson,Values & Responsibility
SG069,"Responsibility begins when you decide what you will do with what happened, even if you did not cause it.",All,Integrity & Character,Growth,inspired_by,The Subtle Art of Not Giving a F*ck,Mark Manson,Values & Responsibility
SG070,Comfort is a poor compass for every important decision.,All,Integrity & Character,Growth,inspired_by,The Subtle Art of Not Giving a F*ck,Mark Manson,Values & Responsibility
SG071,Saying no to trivial battles creates room for meaningful ones.,All,Integrity & Character,Dreams,inspired_by,The Subtle Art of Not Giving a F*ck,Mark Manson,Values & Responsibility
SG072,Better questions often improve life faster than louder positive thinking.,All,Integrity & Character,Growth,inspired_by,The Subtle Art of Not Giving a F*ck,Mark Manson,Values & Responsibility
SG073,"Attention influences what you notice, so train it toward possibilities as well as problems.",All,Happiness,Hope,inspired_by,The Secret,Rhonda Byrne,Optimism & Intention
SG074,Visualizing a better future is useful when it moves you toward deliberate action.,All,Happiness,Hope,inspired_by,The Secret,Rhonda Byrne,Optimism & Intention
SG075,Gratitude can change the emotional quality of an ordinary day.,All,Happiness,Hope,inspired_by,The Secret,Rhonda Byrne,Optimism & Intention
SG076,What you repeatedly expect affects the opportunities you are prepared to recognize.,All,Happiness,Hope,inspired_by,The Secret,Rhonda Byrne,Optimism & Intention
SG077,Hope is most powerful when it becomes behaviour.,All,Happiness,Hope,inspired_by,The Secret,Rhonda Byrne,Optimism & Intention
SG078,Focus can turn scattered desire into a clearer direction.,All,Happiness,Discipline & Action,inspired_by,The Secret,Rhonda Byrne,Optimism & Intention
SG079,Act like your future matters enough to prepare for it today.,All,Happiness,Hope,inspired_by,The Secret,Rhonda Byrne,Optimism & Intention
SG080,"Positive expectation should support reality-based action, not replace it.",All,Happiness,Hope,inspired_by,The Secret,Rhonda Byrne,Optimism & Intention
SG081,Change becomes more painful when you keep negotiating with a reality that has already changed.,All,Growth,Growth,inspired_by,Who Moved My Cheese?,Spencer Johnson,Change & Adaptability
SG082,Notice small shifts early so adaptation does not have to begin in panic.,All,Growth,Growth,inspired_by,Who Moved My Cheese?,Spencer Johnson,Change & Adaptability
SG083,Yesterday's solution can become tomorrow's obstacle if you refuse to update it.,All,Growth,Growth,inspired_by,Who Moved My Cheese?,Spencer Johnson,Change & Adaptability
SG084,Move toward what is next before resentment makes the old situation your identity.,All,Growth,Becoming,inspired_by,Who Moved My Cheese?,Spencer Johnson,Change & Adaptability
SG085,Fear becomes smaller when you start exploring instead of only imagining.,All,Growth,Growth,inspired_by,Who Moved My Cheese?,Spencer Johnson,Change & Adaptability
SG086,Adaptability is often more valuable than being right about how things used to work.,All,Growth,Growth,inspired_by,Who Moved My Cheese?,Spencer Johnson,Change & Adaptability
SG087,Do not confuse familiarity with safety.,All,Growth,Growth,inspired_by,Who Moved My Cheese?,Spencer Johnson,Change & Adaptability
SG088,Learning to move again is part of surviving every changing season.,All,Growth,Growth,inspired_by,Who Moved My Cheese?,Spencer Johnson,Change & Adaptability
SG089,"Income matters, but ownership changes the long-term game.",All,Money Mindset,Dreams,inspired_by,Rich Dad Poor Dad,Robert T. Kiyosaki,Money & Assets
SG090,Learn the difference between something that looks valuable and something that actually produces value.,All,Money Mindset,Dreams,inspired_by,Rich Dad Poor Dad,Robert T. Kiyosaki,Money & Assets
SG091,Financial education can turn a paycheck into choices instead of obligations.,All,Money Mindset,Dreams,inspired_by,Rich Dad Poor Dad,Robert T. Kiyosaki,Money & Assets
SG092,Buying more whenever you earn more can keep freedom permanently out of reach.,All,Money Mindset,Dreams,inspired_by,Rich Dad Poor Dad,Robert T. Kiyosaki,Money & Assets
SG093,Study cash flow before you celebrate the purchase.,All,Money Mindset,Dreams,inspired_by,Rich Dad Poor Dad,Robert T. Kiyosaki,Money & Assets
SG094,Build assets that can support your life when your time is not available.,All,Money Mindset,Dreams,inspired_by,Rich Dad Poor Dad,Robert T. Kiyosaki,Money & Assets
SG095,Money becomes easier to manage when you learn its language instead of avoiding it.,All,Money Mindset,Dreams,inspired_by,Rich Dad Poor Dad,Robert T. Kiyosaki,Money & Assets
SG096,Financial independence grows when consumption stops winning every raise.,All,Money Mindset,Dreams,inspired_by,Rich Dad Poor Dad,Robert T. Kiyosaki,Money & Assets
SG097,Good money decisions depend as much on behaviour as they do on intelligence.,All,Money Mindset,Dreams,inspired_by,The Psychology of Money,Morgan Housel,Money Psychology
SG098,Wealth is often invisible because it is the money that was not spent.,All,Money Mindset,Dreams,inspired_by,The Psychology of Money,Morgan Housel,Money Psychology
SG099,Enough is a powerful number when comparison keeps trying to move the finish line.,All,Money Mindset,Dreams,inspired_by,The Psychology of Money,Morgan Housel,Money Psychology
SG100,"Long-term success needs room for bad luck, mistakes, and unexpected years.",All,Money Mindset,Dreams,inspired_by,The Psychology of Money,Morgan Housel,Money Psychology
SG101,Compounding rewards patience more reliably than excitement.,All,Money Mindset,Dreams,inspired_by,The Psychology of Money,Morgan Housel,Money Psychology
SG102,"Your financial plan should fit your temperament, not someone else's personality.",All,Money Mindset,Dreams,inspired_by,The Psychology of Money,Morgan Housel,Money Psychology
SG103,Being reasonable and consistent can beat being brilliant and unstable.,All,Money Mindset,Dreams,inspired_by,The Psychology of Money,Morgan Housel,Money Psychology
SG104,The best financial freedom is the ability to control more of your time.,All,Money Mindset,Peace & Letting Go,inspired_by,The Psychology of Money,Morgan Housel,Money Psychology
SG105,Concentration becomes a competitive advantage when distraction becomes normal.,All,Execution,Discipline & Action,inspired_by,Deep Work,Cal Newport,Focus & Productivity
SG106,Protect blocks of attention before shallow requests consume the whole day.,All,Execution,Discipline & Action,inspired_by,Deep Work,Cal Newport,Focus & Productivity
SG107,Your best work needs time long enough for your mind to stop switching contexts.,All,Execution,Discipline & Action,inspired_by,Deep Work,Cal Newport,Focus & Productivity
SG108,Busyness can look productive while quietly preventing important work.,All,Execution,Discipline & Action,inspired_by,Deep Work,Cal Newport,Focus & Productivity
SG109,Train focus like a skill instead of waiting for perfect concentration.,All,Execution,Discipline & Action,inspired_by,Deep Work,Cal Newport,Focus & Productivity
SG110,Every unnecessary interruption has a recovery cost.,All,Execution,Discipline & Action,inspired_by,Deep Work,Cal Newport,Focus & Productivity
SG111,Depth creates value that constant responsiveness rarely matches.,All,Execution,Discipline & Action,inspired_by,Deep Work,Cal Newport,Focus & Productivity
SG112,A focused hour can outperform several fragmented ones.,All,Execution,Discipline & Action,inspired_by,Deep Work,Cal Newport,Focus & Productivity
SG113,Every yes spends a piece of your finite life.,All,Execution,Discipline & Action,inspired_by,Essentialism,Greg McKeown,Priorities & Simplicity
SG114,Do fewer things deliberately instead of many things resentfully.,All,Execution,Discipline & Action,inspired_by,Essentialism,Greg McKeown,Priorities & Simplicity
SG115,"If a commitment is not important enough, make room by declining it.",All,Execution,Discipline & Action,inspired_by,Essentialism,Greg McKeown,Priorities & Simplicity
SG116,Clarity appears when you separate what matters from what merely makes noise.,All,Execution,Discipline & Action,inspired_by,Essentialism,Greg McKeown,Priorities & Simplicity
SG117,Protect the vital few from the convenient many.,All,Execution,Discipline & Action,inspired_by,Essentialism,Greg McKeown,Priorities & Simplicity
SG118,Space in your schedule is not waste; it is capacity for what matters.,All,Execution,Discipline & Action,inspired_by,Essentialism,Greg McKeown,Priorities & Simplicity
SG119,A disciplined no can preserve a more meaningful yes.,All,Execution,Discipline & Action,inspired_by,Essentialism,Greg McKeown,Priorities & Simplicity
SG120,Simplicity becomes powerful when it is guided by purpose.,All,Execution,Discipline & Action,inspired_by,Essentialism,Greg McKeown,Priorities & Simplicity
SG121,Progress accelerates when one important action receives your best attention first.,All,Execution,Discipline & Action,inspired_by,The ONE Thing,Gary Keller & Jay Papasan,Focus & Prioritization
SG122,Ask which task would make the rest easier instead of treating every task equally.,All,Execution,Discipline & Action,inspired_by,The ONE Thing,Gary Keller & Jay Papasan,Focus & Prioritization
SG123,Big results are often built through a sequence of well-chosen priorities.,All,Execution,Discipline & Action,inspired_by,The ONE Thing,Gary Keller & Jay Papasan,Focus & Prioritization
SG124,Multitasking can create motion without meaningful advancement.,All,Execution,Discipline & Action,inspired_by,The ONE Thing,Gary Keller & Jay Papasan,Focus & Prioritization
SG125,Protect the work that creates leverage before checking the work that creates noise.,All,Execution,Discipline & Action,inspired_by,The ONE Thing,Gary Keller & Jay Papasan,Focus & Prioritization
SG126,Focus becomes easier when your calendar reflects your stated priority.,All,Execution,Discipline & Action,inspired_by,The ONE Thing,Gary Keller & Jay Papasan,Focus & Prioritization
SG127,One finished priority is worth more than several impressive beginnings.,All,Execution,Discipline & Action,inspired_by,The ONE Thing,Gary Keller & Jay Papasan,Focus & Prioritization
SG128,Your mind is better at creating ideas than storing every reminder.,All,Execution,Discipline & Action,inspired_by,Getting Things Done,David Allen,Organization & Execution
SG129,Capture commitments somewhere reliable so your brain can stop rehearsing them.,All,Execution,Discipline & Action,inspired_by,Getting Things Done,David Allen,Organization & Execution
SG130,A vague task creates more stress than a clearly defined next action.,All,Execution,Discipline & Action,inspired_by,Getting Things Done,David Allen,Organization & Execution
SG131,"Organize work by what can actually be done, not by what sounds important.",All,Execution,Discipline & Action,inspired_by,Getting Things Done,David Allen,Organization & Execution
SG132,Regular review turns lists into a trusted system instead of a digital junk drawer.,All,Execution,Discipline & Action,inspired_by,Getting Things Done,David Allen,Organization & Execution
