QuoteID,Quote,SupportingText,Audience,TopicCategory,Topic,Theme,SourceType,InspiredBy,Author,AttributionNote,OriginalTheme,SourceURL,Occasion,IllustrationTags,SourceLibrary,SourceFile,DuplicateOf,QualityStatus
CH001,Childhood is made of little adventures that feel enormous.,,Kids|Teens,Family,Childhood Nostalgia,Childhood Joy & Innocence,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Childhood Joy & Innocence,,,"childhood,bicycle,school,mother-child",children,data/library/children_master.csv,,approved
CH002,"The best memories often begin with, 'Come outside and play.'",,Kids|Teens,Family,Childhood Nostalgia,Childhood Joy & Innocence,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Childhood Joy & Innocence,,,"childhood,bicycle,school,mother-child",children,data/library/children_master.csv,,approved
CH003,Some days deserve muddy shoes and a big laugh.,,Kids|Teens,Family,Childhood Nostalgia,Childhood Joy & Innocence,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Childhood Joy & Innocence,,,"childhood,bicycle,school,mother-child",children,data/library/children_master.csv,,approved
CH004,"A bicycle, a best friend, and a long road can feel like freedom.",,Kids|Teens,Family,Childhood Nostalgia,Childhood Joy & Innocence,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Childhood Joy & Innocence,,,"childhood,bicycle,school,mother-child",children,data/library/children_master.csv,,approved
CH005,Growing up is easier when you keep a little wonder.,,Kids|Teens,Family,Childhood Nostalgia,Childhood Joy & Innocence,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Childhood Joy & Innocence,,,"childhood,bicycle,school,mother-child",children,data/library/children_master.csv,,approved
CH006,You are never too old to be excited by small things.,,Kids|Teens,Family,Childhood Nostalgia,Childhood Joy & Innocence,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Childhood Joy & Innocence,,,"childhood,bicycle,school,mother-child",children,data/library/children_master.csv,,approved
CH007,The happiest childhood moments rarely need a screen.,,Kids|Teens,Family,Childhood Nostalgia,Childhood Joy & Innocence,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Childhood Joy & Innocence,,,"childhood,bicycle,school,mother-child",children,data/library/children_master.csv,,approved
CH008,Keep the part of you that still looks at the sky and says wow.,,Kids|Teens,Family,Childhood Nostalgia,Childhood Joy & Innocence,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Childhood Joy & Innocence,,,"childhood,bicycle,school,mother-child",children,data/library/children_master.csv,,approved
CH009,Play is serious work for a happy heart.,,Kids|Teens,Family,Childhood Nostalgia,Childhood Joy & Innocence,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Childhood Joy & Innocence,,,"childhood,bicycle,school,mother-child",children,data/library/children_master.csv,,approved
CH010,"Some memories smell like rain, school books, and home.",,Kids|Teens,Family,Childhood Nostalgia,Childhood Joy & Innocence,legacy_original,,,Legacy children library row; source attribution is not recorded in the source file.,Childhood Joy & Innocence,,,"childhood,bicycle,school,mother-child",children,data/library/children_master.csv,,approved
