TopicID,Topic,Category,Audiences,Highlight,Evergreen,DefaultTone,IllustrationTags,Notes
TOPIC-001,Friendship,Relationships,All,Friends,true,Warm,"friends,group,laughter","Close friends, old friends, new friends, friendship memories"
TOPIC-002,Best Friends,Relationships,All,Friends,true,Warm,"best-friends,two-friends","More intimate friendship content"
TOPIC-003,Love,Relationships,Adults,Love,true,Romantic,"couple,love","General romantic love"
TOPIC-004,Relationships,Relationships,Adults,Love,true,Thoughtful,"couple,partners","Healthy partnership and mutual respect"
TOPIC-005,Marriage,Relationships,Adults,Love,true,Warm,"married-couple,couple","Commitment, teamwork, companionship"
TOPIC-006,Breakups,Relationships,Adults,Love,true,Reflective,"alone,healing","Healing and self-respect; avoid bitterness"
TOPIC-007,Mother,Family,All,Family,true,Emotional,"mother-child,mom","Mother-child love, gratitude, nostalgia"
TOPIC-008,Father,Family,All,Family,true,Warm,"father-child,dad","Fatherhood, gratitude, guidance"
TOPIC-009,Sisters,Family,All,Family,true,Playful,"sisters,siblings","Sisterhood, friendship, teasing, support"
TOPIC-010,Brothers,Family,All,Family,true,Playful,"brothers,siblings","Brotherhood, support, memories"
TOPIC-011,Siblings,Family,All,Family,true,Warm,"siblings,family","Shared childhood, family bond"
TOPIC-012,Family,Family,All,Family,true,Warm,"family,home","Belonging, home, togetherness"
TOPIC-013,Parenting,Family,Adults,Family,true,Thoughtful,"parent-child,family","Parenting, presence, example-setting"
TOPIC-014,Childhood Nostalgia,Family,All,Kids,true,Nostalgic,"childhood,bicycle,school,mother-child","Simple memories and innocence"
TOPIC-015,Fitness,Wellness,All,Fitness,true,Motivational,"workout,gym,running","Strength, consistency, healthy habits"
TOPIC-016,Health,Wellness,All,Fitness,true,Supportive,"healthy-lifestyle,walking,water","General wellness, sleep, nutrition, movement"
TOPIC-017,Mental Health,Wellness,All,Mindset,true,Gentle,"peace,rest,reflection","Non-clinical wellbeing and self-care messaging"
TOPIC-018,Rest & Recovery,Wellness,All,Fitness,true,Gentle,"sleep,rest,recovery","Recovery as part of performance"
TOPIC-019,Body Confidence,Wellness,All,Fitness,true,Positive,"fitness,confidence","Healthy body image without appearance pressure"
TOPIC-020,Self-Belief,Mindset,All,Mindset,true,Motivational,"confidence,standing-tall","Confidence without arrogance"
TOPIC-021,Discipline,Mindset,All,Mindset,true,Direct,"work,training,focus","Consistency, habits, follow-through"
TOPIC-022,Resilience,Mindset,All,Mindset,true,Encouraging,"climbing,walking,alone","Bouncing back and continuing"
TOPIC-023,Growth,Mindset,All,Mindset,true,Thoughtful,"growth,journey,reading","Learning and becoming"
TOPIC-024,Peace,Mindset,All,Mindset,true,Calm,"meditation,nature,quiet","Protecting energy, calm and boundaries"
TOPIC-025,Gratitude,Mindset,All,Mindset,true,Warm,"sunrise,coffee,family","Noticing ordinary good moments"
TOPIC-026,Happiness,Mindset,All,Mindset,true,Joyful,"laughter,dancing,friends","Joy and appreciation"
TOPIC-027,Hope,Mindset,All,Mindset,true,Encouraging,"sunrise,journey","Optimism without clichés"
TOPIC-028,Goals,Mindset,All,Mindset,true,Motivational,"planning,desk,journey","Dreams translated into action"
TOPIC-029,CEO Mindset,Business,Adults,CEO,true,Sharp,"ceo,desk,city,leadership","Ownership, clarity, responsibility, long-term thinking"
TOPIC-030,Entrepreneurship,Business,Adults,CEO,true,Ambitious,"startup,work,planning","Building value, solving problems, creating"
TOPIC-031,Leadership,Business,Adults,CEO,true,Grounded,"leader,team,meeting","Calm leadership, accountability, service"
TOPIC-032,Execution,Business,Adults,CEO,true,Direct,"work,planning,action","Action, systems, delivery"
TOPIC-033,Money Mindset,Business,Adults,CEO,true,Thoughtful,"finance,work,building","Value creation, patience, financial discipline"
TOPIC-034,Career,Business,Adults,CEO,true,Professional,"work,office,learning","Career growth and standards"
TOPIC-035,Study & Learning,Youth,Kids|Teens|Adults,Kids,true,Encouraging,"books,study,school","Curiosity, learning, persistence"
TOPIC-036,Kids Morals,Youth,Kids|Teens,Kids,true,Gentle,"kids,school,friends","Kindness, honesty, courage, responsibility"
TOPIC-037,Teen Confidence,Youth,Teens,Kids,true,Positive,"teens,friends,sports","Confidence, boundaries, identity"
TOPIC-038,Justice & Equality,Youth,Kids|Teens|Adults,Kids,true,Principled,"mixed-friends,teamwork","Fairness, dignity, equal opportunity"
TOPIC-039,Sports,Youth,Kids|Teens|Adults,Fitness,true,Energetic,"sports,team,training","Teamwork, effort, healthy competition"
TOPIC-040,Kindness,Values,All,Mindset,true,Gentle,"helping,friends,family","Everyday decency and compassion"
TOPIC-041,Spirituality,Values,All,Mindset,true,Reflective,"meditation,prayer,nature","Universal, non-sectarian spiritual reflection"
TOPIC-042,Funny & Relatable,Lifestyle,All,Friends,true,Playful,"laughter,coffee,friends","Light, shareable, non-toxic humor"
TOPIC-043,Travel & Adventure,Lifestyle,All,Friends,true,Free,"roadtrip,beach,hiking","Trips, memories, freedom, friendship"
TOPIC-044,Reading & Books,Lifestyle,All,Mindset,true,Reflective,"reading,books,coffee","Bookish wisdom and quiet-time content"
TOPIC-045,Music & Dance,Lifestyle,All,Friends,true,Joyful,"music,headphones,dancing","Energy, release, fun"
TOPIC-046,Work-Life Balance,Lifestyle,Adults,Mindset,true,Calm,"rest,work,coffee","Ambition without burnout"
