EventID,Event,DateRule,Market,LeadDays,FollowDays,PrimaryTopic,SecondaryTopics,Audiences,Priority,Highlight,Notes
EVENT-001,New Year,FIXED:01-01,Global,7,2,Goals,"Hope,Gratitude,Growth,Discipline",All,high,Occasions,"Start pre-New-Year reflection content from Dec 26"
EVENT-002,Valentine's Day,FIXED:02-14,Global,7,1,Love,"Relationships,Marriage,Self-Belief",Adults,high,Occasions,"Include romantic and self-love variants"
EVENT-003,International Women's Day,FIXED:03-08,Global,5,1,Self-Belief,"Leadership,Justice & Equality,Growth",Women|Teens,high,Occasions,"Confidence, equality and leadership; avoid stereotypes"
EVENT-004,International Day of Happiness,FIXED:03-20,Global,3,0,Happiness,"Gratitude,Friendship,Family",All,medium,Occasions,"Joy-focused evergreen content"
EVENT-005,World Health Day,FIXED:04-07,Global,5,1,Health,"Mental Health,Fitness,Rest & Recovery",All,high,Occasions,"General wellness only; avoid medical claims"
EVENT-006,Siblings Day,FIXED:04-10,Selected markets,5,1,Siblings,"Sisters,Brothers,Childhood Nostalgia",All,medium,Occasions,"Informal observance; use where relevant"
EVENT-007,World Book Day,FIXED:04-23,Global,4,0,Reading & Books,"Study & Learning,Growth",All,medium,Occasions,"Good fit for book-inspired quote library"
EVENT-008,Mother's Day,NTH_WEEKDAY:2:SUN:MAY,India|US|Many markets,7,1,Mother,"Family,Parenting,Childhood Nostalgia,Gratitude",All,high,Occasions,"Market-specific; verify for regions using a different Mother's Day"
EVENT-009,International Day of Families,FIXED:05-15,Global,4,0,Family,"Mother,Father,Siblings,Parenting",All,medium,Occasions,"Family connection and belonging"
EVENT-010,Father's Day,NTH_WEEKDAY:3:SUN:JUN,India|US|Many markets,7,1,Father,"Family,Parenting,Gratitude",All,high,Occasions,"Market-specific; verify for regions using a different Father's Day"
EVENT-011,International Day of Yoga,FIXED:06-21,Global,5,1,Health,"Fitness,Peace,Mental Health",All,high,Occasions,"Movement, balance, calm; avoid health-treatment claims"
EVENT-012,International Day of Friendship,FIXED:07-30,Global,5,1,Friendship,"Best Friends,Gratitude,Childhood Nostalgia",All,high,Occasions,"UN observance"
EVENT-013,Friendship Day India,NTH_WEEKDAY:1:SUN:AUG,India,7,1,Friendship,"Best Friends,Funny & Relatable,Childhood Nostalgia",All,high,Occasions,"Primary friendship occasion for India-focused content"
EVENT-014,International Youth Day,FIXED:08-12,Global,4,0,Teen Confidence,"Study & Learning,Justice & Equality,Goals",Kids|Teens,medium,Occasions,"Youth voice, ambition, fairness"
EVENT-015,Independence Day India,FIXED:08-15,India,5,1,Justice & Equality,"Leadership,Gratitude,Hope",All,high,Occasions,"Patriotic but inclusive; avoid partisan political messaging"
EVENT-016,Teachers' Day India,FIXED:09-05,India,5,1,Study & Learning,"Gratitude,Growth,Kids Morals",Kids|Teens|Adults,high,Occasions,"Teacher gratitude and learning"
EVENT-017,World Mental Health Day,FIXED:10-10,Global,5,1,Mental Health,"Peace,Rest & Recovery,Self-Belief",All,high,Occasions,"Supportive wellbeing language; no diagnosis or treatment advice"
EVENT-018,World Kindness Day,FIXED:11-13,Global,4,0,Kindness,"Kids Morals,Friendship,Family",All,medium,Occasions,"Simple moral and kindness content"
EVENT-019,Children's Day India,FIXED:11-14,India,5,1,Kids Morals,"Childhood Nostalgia,Friendship,Study & Learning",Kids|Teens|Adults,high,Occasions,"Celebrate childhood, curiosity and dignity"
EVENT-020,International Men's Day,FIXED:11-19,Global,5,1,Self-Belief,"Health,Father,Friendship,Leadership",Men|Teens,high,Occasions,"Healthy masculinity, wellbeing, responsibility"
EVENT-021,Christmas,FIXED:12-25,Global|Christian-majority markets,7,2,Family,"Gratitude,Kindness,Hope,Friendship",All,high,Occasions,"Warm, inclusive seasonal messages"
EVENT-022,Diwali,LOOKUP:ANNUAL_CALENDAR,India|Global Indian diaspora,7,2,Hope,"Family,Gratitude,Happiness,New Beginnings",All,high,Occasions,"Variable lunar date; resolve annually before scheduling"
EVENT-023,Holi,LOOKUP:ANNUAL_CALENDAR,India|Global Indian diaspora,5,1,Happiness,"Friendship,Family,Funny & Relatable",All,medium,Occasions,"Variable lunar date; resolve annually before scheduling"
EVENT-024,Raksha Bandhan,LOOKUP:ANNUAL_CALENDAR,India|Global Indian diaspora,7,1,Siblings,"Sisters,Brothers,Family",All,high,Occasions,"Variable lunar date; resolve annually before scheduling"
EVENT-025,Eid al-Fitr,LOOKUP:ANNUAL_CALENDAR,Global Muslim communities,5,1,Gratitude,"Family,Kindness,Hope",All,medium,Occasions,"Variable lunar date and local moon-sighting differences; resolve annually"
