TrackID,Track,Artist,Mood,Audience,Topics,Era,Lane,RightsStatus,FilePath,TrendScore,PopularityScore,NostalgiaScore,Active,Notes
NOST001,Stayin' Alive,Bee Gees,energy,Adults,Fitness;Discipline;Confidence;Lifestyle,nostalgia,instagram_library,instagram_licensed_only,,0,95,100,true,Recommendation only; attach from Instagram music library if available.
NOST002,Billie Jean,Michael Jackson,bold,Adults,Confidence;Lifestyle;Discipline,nostalgia,instagram_library,instagram_licensed_only,,60,100,100,true,Recommendation only; attach from Instagram music library if available.
NOST003,Beat It,Michael Jackson,energy,Adults,Fitness;Courage;Discipline;Confidence,nostalgia,instagram_library,instagram_licensed_only,,60,98,100,true,Recommendation only; attach from Instagram music library if available.
NOST004,It Wasn't Me,Shaggy,joyful,Adults,Funny & Relatable;Relationships;Lifestyle,nostalgia,instagram_library,instagram_licensed_only,,0,90,95,true,Recommendation only; use an account-appropriate clean version when available.
NOST005,It Was a Good Day,Ice Cube,reflective,Adults,Lifestyle;Gratitude;Peace,nostalgia,instagram_library,instagram_licensed_only,,0,90,95,true,Recommendation only; use an account-appropriate clean version when available.
NOST006,Stronger,Kanye West,energy,Adults,Fitness;Discipline;Resilience;Confidence,nostalgia,instagram_library,instagram_licensed_only,,0,95,95,true,Recommendation only; attach from Instagram music library if available.
NOST007,Crazy in Love,Beyoncé,joyful,Adults,Love;Fitness;Lifestyle;Confidence,nostalgia,instagram_library,instagram_licensed_only,,0,98,95,true,Recommendation only; attach from Instagram music library if available.
NOST008,Halo,Beyoncé,warm,Adults,Love;Hope;Relationships;Peace,nostalgia,instagram_library,instagram_licensed_only,,0,98,95,true,Recommendation only; attach from Instagram music library if available.
NOST009,Dreams,Fleetwood Mac,reflective,Adults,Peace;Growth;Relationships;Lifestyle,nostalgia,instagram_library,instagram_licensed_only,,20,98,100,true,Evergreen reflective recommendation.
NOST010,Don't Stop Me Now,Queen,energy,Adults,Fitness;Confidence;Courage;Lifestyle,nostalgia,instagram_library,instagram_licensed_only,,0,100,100,true,High-energy evergreen recommendation.
NOST011,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,joyful,Adults,Love;Friendship;Music & Dance;Lifestyle,nostalgia,instagram_library,instagram_licensed_only,,0,100,100,true,Joyful nostalgic recommendation.
NOST012,Freedom! '90,George Michael,bold,Adults,Authenticity & Identity;Self-Belief;Confidence;Freedom,nostalgia,instagram_library,instagram_licensed_only,,0,95,100,true,Strong fit for self-belief and identity themes.
NOST013,In the Air Tonight,Phil Collins,cinematic,Adults,Resilience;Growth;Peace;Lifestyle,nostalgia,instagram_library,instagram_licensed_only,,0,98,100,true,Cinematic nostalgic recommendation.
NOST014,Summer of '69,Bryan Adams,joyful,Adults,Childhood Nostalgia;Friendship;Lifestyle;Travel & Adventure,nostalgia,instagram_library,instagram_licensed_only,,0,98,100,true,Nostalgia and friendship recommendation.
NOST015,Livin' on a Prayer,Bon Jovi,energy,Adults,Resilience;Hope;Discipline;Relationships,nostalgia,instagram_library,instagram_licensed_only,,0,98,100,true,Resilience and keep-going recommendation.
NOST016,Everybody Wants to Rule the World,Tears for Fears,reflective,Adults,Leadership;Mindset;Lifestyle;Peace,nostalgia,instagram_library,instagram_licensed_only,,0,98,100,true,Reflective evergreen recommendation.
NOST017,Dancing Queen,ABBA,joyful,Adults,Music & Dance;Friendship;Happiness;Lifestyle,nostalgia,instagram_library,instagram_licensed_only,,0,100,100,true,Joyful nostalgic recommendation.
NOST018,Time After Time,Cyndi Lauper,warm,Adults,Love;Friendship;Relationships;Hope,nostalgia,instagram_library,instagram_licensed_only,,0,95,100,true,Warm nostalgic recommendation.
NOST019,Wonderwall,Oasis,reflective,Adults,Friendship;Love;Childhood Nostalgia;Lifestyle,nostalgia,instagram_library,instagram_licensed_only,,85,100,100,true,Recent chart resurgence plus strong nostalgia value.
NOST020,I Want It That Way,Backstreet Boys,warm,Adults,Love;Relationships;Childhood Nostalgia;Lifestyle,nostalgia,instagram_library,instagram_licensed_only,,0,100,100,true,Highly recognizable nostalgic recommendation.
NOST021,Toxic,Britney Spears,bold,Adults,Relationships;Confidence;Funny & Relatable;Lifestyle,nostalgia,instagram_library,instagram_licensed_only,,0,98,100,true,Use only where the quote tone fits.
NOST022,Yeah!,Usher,joyful,Adults,Fitness;Music & Dance;Confidence;Lifestyle,nostalgia,instagram_library,instagram_licensed_only,,0,98,95,true,Use an account-appropriate clean version when available.
NOST023,Lose Yourself,Eminem,energy,Adults,Discipline;Courage;Goals;Resilience,nostalgia,instagram_library,instagram_licensed_only,,0,100,100,true,Strong motivation fit; use a clean version where needed.
NOST024,Numb,Linkin Park,cinematic,Adults,Mental Health;Authenticity & Identity;Resilience;Growth,nostalgia,instagram_library,instagram_licensed_only,,0,100,100,true,Best for reflective or resilience content.
NOST025,Viva La Vida,Coldplay,cinematic,Adults,Growth;Leadership;Purpose & Meaning;Lifestyle,nostalgia,instagram_library,instagram_licensed_only,,0,100,95,true,Cinematic evergreen recommendation.
NOST026,Rolling in the Deep,Adele,bold,Adults,Relationships;Resilience;Confidence;Growth,nostalgia,instagram_library,instagram_licensed_only,,0,100,95,true,Bold relationship and resilience fit.
NOST027,Umbrella,Rihanna,joyful,Adults,Friendship;Love;Relationships;Hope,nostalgia,instagram_library,instagram_licensed_only,,0,100,95,true,Recognizable friendship and relationship recommendation.
NOST028,Just the Way You Are,Bruno Mars,warm,Adults,Love;Body Confidence;Relationships;Self-Belief,nostalgia,instagram_library,instagram_licensed_only,,0,100,90,true,Warm self-worth and relationship fit.
NOST029,Blinding Lights,The Weeknd,energy,Adults,Fitness;Lifestyle;Travel & Adventure;Confidence,modern_evergreen,instagram_library,instagram_licensed_only,,0,100,90,true,High-recognition modern evergreen track.
NOST030,Shape of You,Ed Sheeran,joyful,Adults,Fitness;Love;Lifestyle;Music & Dance,modern_evergreen,instagram_library,instagram_licensed_only,,0,100,90,true,Use only where body and relationship tone is appropriate.
NOST031,Levitating,Dua Lipa,joyful,Adults,Confidence;Music & Dance;Lifestyle;Happiness,modern_evergreen,instagram_library,instagram_licensed_only,,0,98,90,true,Upbeat confidence and lifestyle recommendation.
NOST032,Poker Face,Lady Gaga,bold,Adults,Confidence;Lifestyle;Funny & Relatable;Relationships,nostalgia,instagram_library,instagram_licensed_only,,0,100,95,true,Use where playful or bold tone fits.
NOST033,Firework,Katy Perry,cinematic,Adults,Self-Belief;Courage;Hope;Confidence,nostalgia,instagram_library,instagram_licensed_only,,0,100,95,true,Strong empowerment and confidence fit.
NOST034,Roar,Katy Perry,bold,Adults,Self-Belief;Courage;Resilience;Confidence,nostalgia,instagram_library,instagram_licensed_only,,0,100,95,true,Strong empowerment recommendation.
NOST035,Unstoppable,Sia,bold,Adults,Discipline;Self-Belief;Resilience;Confidence,modern_evergreen,instagram_library,instagram_licensed_only,,0,98,90,true,Strong motivation fit.
NOST036,Counting Stars,OneRepublic,energy,Adults,Goals;Money Mindset;Growth;Lifestyle,modern_evergreen,instagram_library,instagram_licensed_only,,0,98,90,true,Useful for goals and lifestyle themes.
NOST037,Memories,Maroon 5,reflective,Adults,Childhood Nostalgia;Friendship;Family;Gratitude,modern_evergreen,instagram_library,instagram_licensed_only,,0,98,90,true,Reflective nostalgia recommendation.
NOST038,Wake Me Up,Avicii,energy,Adults,Growth;Travel & Adventure;Purpose & Meaning;Courage,modern_evergreen,instagram_library,instagram_licensed_only,,0,100,95,true,Excellent growth and travel fit.
NOST039,Don't Stop Believin',Journey,cinematic,Adults,Hope;Goals;Resilience;Self-Belief,nostalgia,instagram_library,instagram_licensed_only,,0,100,100,true,Classic hope and resilience recommendation.
NOST040,Eye of the Tiger,Survivor,energy,Adults,Fitness;Discipline;Resilience;Goals,nostalgia,instagram_library,instagram_licensed_only,,0,100,100,true,Classic fitness and discipline recommendation.
NOST041,Happy,Pharrell Williams,joyful,Adults,Happiness;Gratitude;Lifestyle;Friendship,modern_evergreen,instagram_library,instagram_licensed_only,,0,100,90,true,Positive lifestyle recommendation.
NOST042,Can't Stop the Feeling!,Justin Timberlake,joyful,Adults,Music & Dance;Happiness;Friendship;Lifestyle,modern_evergreen,instagram_library,instagram_licensed_only,,0,98,90,true,Upbeat social and lifestyle recommendation.
NOST043,Uptown Funk,Mark Ronson ft. Bruno Mars,energy,Adults,Fitness;Music & Dance;Confidence;Lifestyle,modern_evergreen,instagram_library,instagram_licensed_only,,0,100,95,true,High-energy recognizable recommendation.
NOST044,Flowers,Miley Cyrus,bold,Adults,Self-Love;Self-Belief;Relationships;Confidence,modern_evergreen,instagram_library,instagram_licensed_only,,0,100,85,true,Strong self-love and confidence fit.
NOST045,Someone Like You,Adele,reflective,Adults,Breakups;Love;Relationships;Healing,modern_evergreen,instagram_library,instagram_licensed_only,,0,100,95,true,Reflective breakup and healing fit.
NOST046,Perfect,Ed Sheeran,warm,Adults,Love;Marriage;Relationships;Family,modern_evergreen,instagram_library,instagram_licensed_only,,0,100,90,true,Warm love and relationship recommendation.
NOST047,Fix You,Coldplay,warm,Adults,Hope;Healing;Mental Health;Resilience,modern_evergreen,instagram_library,instagram_licensed_only,,0,100,95,true,Strong hope and healing recommendation.
NOST048,The Climb,Miley Cyrus,cinematic,Adults,Goals;Resilience;Growth;Hope,modern_evergreen,instagram_library,instagram_licensed_only,,0,95,90,true,Strong perseverance recommendation.
