QuoteID,Quote,Audience,Topic,Theme,SourceType,InspiredBy,Author,OriginalTheme
WEMP301,Leadership becomes more equal when women are allowed to be decisive without being punished for the same confidence admired in men.,Women,Leadership,Believe in Yourself,inspired_by,Lean In,Sheryl Sandberg,Career & Leadership
WEMP302,Listen to the discomfort that appears when your outer life and inner truth stop matching.,Women,Authenticity & Identity,Self-Worth,inspired_by,Untamed,Glennon Doyle,Authenticity & Freedom
WEMP303,Let your past explain your strength without making it the ceiling for your future.,Women,Authenticity & Identity,Becoming,inspired_by,Becoming,Michelle Obama,Identity & Becoming
WEMP304,Your inner life deserves maintenance just as much as your public responsibilities.,Women,Fitness,Believe in Yourself,inspired_by,The Light We Carry,Michelle Obama,Confidence & Inner Strength
WEMP305,"Raise boys to respect equality, not merely to protect women they personally love.",Women,Justice & Equality,Self-Worth,inspired_by,We Should All Be Feminists,Chimamanda Ngozi Adichie,Equality & Voice
WEMP306,Teach her that marriage can be a choice without becoming the measure of her success.,Women,Growth,Becoming,inspired_by,"Dear Ijeawele, or A Feminist Manifesto in Fifteen Suggestions",Chimamanda Ngozi Adichie,Raising Empowered Girls
WEMP307,History explains why women's voices are policed; it does not justify continuing the pattern.,Women,Justice & Equality,Self-Worth,inspired_by,Women & Power,Mary Beard,Power & Public Voice
WEMP308,Call out double standards before they become invisible rules.,Women,Justice & Equality,Self-Worth,inspired_by,Women and Leadership,Julia Gillard & Ngozi Okonjo-Iweala,Leadership & Gender Bias
WEMP309,Women's freedom grows when social norms change alongside laws.,Women,Justice & Equality,Self-Worth,inspired_by,The Moment of Lift,Melinda French Gates,Global Equality & Opportunity
WEMP310,Books can become instruments of independence when access to knowledge is restricted.,Women,Study & Learning,Peace & Letting Go,inspired_by,I Am Malala,Malala Yousafzai & Christina Lamb,Education & Courage
WEMP311,Reinventing yourself may require grieving the belonging that demanded your silence.,Women,Study & Learning,Self-Worth,inspired_by,Educated,Tara Westover,Education & Self-Invention
WEMP312,Recovery is not measured by how quickly you become convenient to other people again.,Women,Justice & Equality,Resilience,inspired_by,Know My Name,Chanel Miller,"Voice, Dignity & Survival"
WEMP313,Solidarity becomes real when comfort is not the price of acknowledging another woman's reality.,Women,Justice & Equality,Self-Worth,inspired_by,Hood Feminism,Mikki Kendall,Intersectional Feminism
WEMP314,Your body can change without your humanity becoming negotiable.,Women,Love,Self-Worth,inspired_by,The Body Is Not an Apology,Sonya Renee Taylor,Body Respect & Self-Love
WEMP315,Your worth is not the sum of how impressively you survive impossible expectations.,Women,Goals,Dreams,inspired_by,More Than Enough,Elaine Welteroth,Worth & Ambition
WEMP316,Perfectionism can look responsible while quietly preventing boldness.,Women,Self-Belief,Believe in Yourself,inspired_by,The Confidence Code,Katty Kay & Claire Shipman,Confidence & Action
WEMP317,Career growth sometimes requires releasing the need to please everyone affected by your advancement.,Women,Career,Discipline & Action,inspired_by,How Women Rise,Sally Helgesen & Marshall Goldsmith,Career Growth & Habits
WEMP318,Fear often grows around the very work that matters most to you.,Women,Purpose & Meaning,Dreams,inspired_by,Playing Big,Tara Mohr,Calling & Inner Critic
