ID,Quote,Theme,AgeGroup,Type
1,Kindness counts most when nobody is keeping score.,Kindness & Empathy,Kids / Pre-teens,original_moral
2,"Before you laugh at someone, ask whether you would want the joke aimed at you.",Kindness & Empathy,Kids / Pre-teens,original_moral
3,A small act of kindness can change the whole mood of a room.,Kindness & Empathy,Kids / Pre-teens,original_moral
4,"If someone is left out, make space.",Kindness & Empathy,Kids / Pre-teens,original_moral
5,You do not need to understand everything about someone to treat them well.,Kindness & Empathy,Kids / Pre-teens,original_moral
6,Helping someone feel safe is a kind of strength.,Kindness & Empathy,Kids / Pre-teens,original_moral
7,Be gentle with people carrying problems you cannot see.,Kindness & Empathy,Kids / Pre-teens,original_moral
8,"A kind word is free, but it can stay with someone for years.",Kindness & Empathy,Kids / Pre-teens,original_moral
9,"Notice who needs a friend, not only who is already popular.",Kindness & Empathy,Kids / Pre-teens,original_moral
10,Empathy means asking how it feels from the other side.,Kindness & Empathy,Kids / Pre-teens,original_moral
11,Tell the truth even when a lie would be easier.,Honesty & Integrity,Kids / Pre-teens,original_moral
12,A mistake becomes easier to fix when you admit it early.,Honesty & Integrity,Kids / Pre-teens,original_moral
13,Do the right thing even when nobody will find out.,Honesty & Integrity,Kids / Pre-teens,original_moral
14,"Trust grows slowly and can disappear quickly, so protect it.",Honesty & Integrity,Kids / Pre-teens,original_moral
15,"If you broke it, own it; if you hurt someone, apologize.",Honesty & Integrity,Kids / Pre-teens,original_moral
16,Being honest is more important than looking perfect.,Honesty & Integrity,Kids / Pre-teens,original_moral
17,Do not promise what you already know you will not do.,Honesty & Integrity,Kids / Pre-teens,original_moral
18,Your character is what you choose when there is no audience.,Honesty & Integrity,Kids / Pre-teens,original_moral
19,An honest answer can be uncomfortable and still be kind.,Honesty & Integrity,Kids / Pre-teens,original_moral
20,Integrity means your actions match the values you talk about.,Honesty & Integrity,Kids / Pre-teens,original_moral
21,"Respect is for everyone, not only people who agree with you.",Respect & Equality,All,original_moral
22,"Different genders deserve the same dignity, chances, and voice.",Respect & Equality,All,original_moral
23,Do not make someone smaller so you can feel bigger.,Respect & Equality,All,original_moral
24,"A person's accent, clothes, body, or background is never permission to mock them.",Respect & Equality,All,original_moral
25,Fairness means the rules should not change depending on who you are.,Respect & Equality,All,original_moral
26,Listen when someone says a joke or comment makes them uncomfortable.,Respect & Equality,All,original_moral
27,Strength and kindness belong to every gender.,Respect & Equality,All,original_moral
28,Treat the quiet person with the same respect as the popular one.,Respect & Equality,All,original_moral
29,You can disagree without insulting someone.,Respect & Equality,All,original_moral
30,"Equality is not giving everyone the same personality; it is giving everyone the same respect.",Respect & Equality,All,original_moral
31,"Do what you said you would do, especially when nobody reminds you.",Responsibility & Effort,Pre-teens / Teens,original_moral
32,"Effort cannot guarantee every result, but it always teaches you something.",Responsibility & Effort,Pre-teens / Teens,original_moral
33,Finish the small job before complaining about the big dream.,Responsibility & Effort,Pre-teens / Teens,original_moral
34,Being responsible means fixing your part instead of finding someone to blame.,Responsibility & Effort,Pre-teens / Teens,original_moral
35,Practice makes progress even when it does not make perfect.,Responsibility & Effort,Pre-teens / Teens,original_moral
36,"Take care of your things, your time, and the trust people give you.",Responsibility & Effort,Pre-teens / Teens,original_moral
37,"You are allowed to ask for help, but do not hand away your responsibility.",Responsibility & Effort,Pre-teens / Teens,original_moral
38,A good habit is a favor you send to your future self.,Responsibility & Effort,Pre-teens / Teens,original_moral
39,"Show up prepared; confidence likes preparation.",Responsibility & Effort,Pre-teens / Teens,original_moral
40,"Excuses explain a problem, but action changes it.",Responsibility & Effort,Pre-teens / Teens,original_moral
41,"Courage can sound like, 'That is not okay.'",Courage & Speaking Up,Pre-teens / Teens,original_moral
42,"If someone is being bullied, do not make silence part of the crowd.",Courage & Speaking Up,Pre-teens / Teens,original_moral
43,You can be nervous and still do the right thing.,Courage & Speaking Up,Pre-teens / Teens,original_moral
44,Speak up respectfully when something is unfair.,Courage & Speaking Up,Pre-teens / Teens,original_moral
45,Walking away from a bad situation can be braver than joining it.,Courage & Speaking Up,Pre-teens / Teens,original_moral
46,Ask the question even if you worry it sounds simple.,Courage & Speaking Up,Pre-teens / Teens,original_moral
47,Saying no to pressure is a form of courage.,Courage & Speaking Up,Pre-teens / Teens,original_moral
48,Do not confuse popularity with being right.,Courage & Speaking Up,Pre-teens / Teens,original_moral
49,Stand beside the person who is standing alone.,Courage & Speaking Up,Pre-teens / Teens,original_moral
50,Bravery is choosing your values when the crowd chooses something easier.,Courage & Speaking Up,Pre-teens / Teens,original_moral
51,A real friend does not need you to embarrass someone else to be funny.,Friendship & Inclusion,Kids / Pre-teens,original_moral
52,"Invite people in; you never know who needed that invitation.",Friendship & Inclusion,Kids / Pre-teens,original_moral
53,Good friends celebrate your success without turning it into a competition.,Friendship & Inclusion,Kids / Pre-teens,original_moral
54,"If your friendship requires constant pretending, something needs to change.",Friendship & Inclusion,Kids / Pre-teens,original_moral
55,Do not share a friend's secret for attention.,Friendship & Inclusion,Kids / Pre-teens,original_moral
56,A good friend can say sorry without adding an excuse.,Friendship & Inclusion,Kids / Pre-teens,original_moral
57,Choose friends who respect your boundaries.,Friendship & Inclusion,Kids / Pre-teens,original_moral
58,Being part of a group should never require being cruel to someone outside it.,Friendship & Inclusion,Kids / Pre-teens,original_moral
59,"Friendship is not ownership; your friends are allowed to have other friends.",Friendship & Inclusion,Kids / Pre-teens,original_moral
60,"The best circles make people feel more like themselves, not less.",Friendship & Inclusion,Kids / Pre-teens,original_moral
61,You do not have to react to every annoying thing.,Self-Control & Patience,All,original_moral
62,A pause can stop a small problem from becoming a big one.,Self-Control & Patience,All,original_moral
63,Wanting something now does not mean you need it now.,Self-Control & Patience,All,original_moral
64,Learn to wait without making everyone else suffer for it.,Self-Control & Patience,All,original_moral
65,"Anger is a feeling, not permission to be cruel.",Self-Control & Patience,All,original_moral
66,Take time to cool down before sending the message.,Self-Control & Patience,All,original_moral
67,"Patience is not doing nothing; it is staying steady while you wait.",Self-Control & Patience,All,original_moral
68,Your first reaction is not always your best decision.,Self-Control & Patience,All,original_moral
69,Being calm does not mean you are weak.,Self-Control & Patience,All,original_moral
70,Self-control is choosing what helps you later over what feels good for ten seconds.,Self-Control & Patience,All,original_moral
71,"Say thank you for things people do often, not only things they do once.",Gratitude & Humility,Kids / Pre-teens,original_moral
72,You can be proud of yourself without acting better than others.,Gratitude & Humility,Kids / Pre-teens,original_moral
73,Notice what you have before comparing it with what someone else has.,Gratitude & Humility,Kids / Pre-teens,original_moral
74,Winning is sweeter when you can stay gracious.,Gratitude & Humility,Kids / Pre-teens,original_moral
75,Let someone else have the spotlight sometimes.,Gratitude & Humility,Kids / Pre-teens,original_moral
76,Being good at something does not make you too important to learn.,Gratitude & Humility,Kids / Pre-teens,original_moral
77,Appreciate the people whose work makes your day easier.,Gratitude & Humility,Kids / Pre-teens,original_moral
78,Humility means knowing your strengths without needing to prove them constantly.,Gratitude & Humility,Kids / Pre-teens,original_moral
79,A grateful person notices ordinary good things.,Gratitude & Humility,Kids / Pre-teens,original_moral
80,Celebrate your progress and remember who helped you along the way.,Gratitude & Humility,Kids / Pre-teens,original_moral
81,Do not type something you would be ashamed to say face to face.,Digital & Social Responsibility,Pre-teens / Teens,original_moral
82,A screenshot can last longer than the joke.,Digital & Social Responsibility,Pre-teens / Teens,original_moral
83,Do not forward someone's private message without permission.,Digital & Social Responsibility,Pre-teens / Teens,original_moral
84,"Before sharing a claim, check whether it is true.",Digital & Social Responsibility,Pre-teens / Teens,original_moral
85,"Your phone deserves breaks from you, and you deserve breaks from your phone.",Digital & Social Responsibility,Pre-teens / Teens,original_moral
86,Do not measure your real life against someone else's best fifteen seconds.,Digital & Social Responsibility,Pre-teens / Teens,original_moral
87,Block and report cruelty instead of feeding it with attention.,Digital & Social Responsibility,Pre-teens / Teens,original_moral
88,Being anonymous does not remove responsibility.,Digital & Social Responsibility,Pre-teens / Teens,original_moral
89,Ask before posting a photo of someone else.,Digital & Social Responsibility,Pre-teens / Teens,original_moral
90,"The internet remembers quickly, so post with the future in mind.",Digital & Social Responsibility,Pre-teens / Teens,original_moral
91,"Your body deserves food, sleep, movement, and respect.","Health, Balance & Self-Respect",All,original_moral
92,Healthy does not have one body shape.,"Health, Balance & Self-Respect",All,original_moral
93,"Rest is part of doing well, not proof that you are lazy.","Health, Balance & Self-Respect",All,original_moral
94,Do not punish your body for not looking like someone else's.,"Health, Balance & Self-Respect",All,original_moral
95,"Play, study, sleep, and laugh; growing needs all of them.","Health, Balance & Self-Respect",All,original_moral
96,You can work hard without treating yourself harshly.,"Health, Balance & Self-Respect",All,original_moral
97,"If something feels unsafe, tell a trusted adult.","Health, Balance & Self-Respect",All,original_moral
98,Your boundaries matter even when someone else does not like them.,"Health, Balance & Self-Respect",All,original_moral
99,Ask for help before a hard day becomes a hidden problem.,"Health, Balance & Self-Respect",All,original_moral
100,Taking care of yourself helps you show up better for other people too.,"Health, Balance & Self-Respect",All,original_moral
