ID,Quote,Author,Source,Type,Theme,Audience,DisplayAttribution
1,"Make decisions from the future you want, not the fear you feel.",Various leadership authors,Think Like a CEO / CEO mindset,inspired_by,Leadership & Decisions,All,Inspired by Think Like a CEO / CEO mindset
2,A leader owns the outcome before asking who caused the problem.,Various leadership authors,Think Like a CEO / CEO mindset,inspired_by,Leadership & Decisions,All,Inspired by Think Like a CEO / CEO mindset
3,Clarity is a leadership skill: decide what matters and remove the noise.,Various leadership authors,Think Like a CEO / CEO mindset,inspired_by,Leadership & Decisions,All,Inspired by Think Like a CEO / CEO mindset
4,"Think beyond today's task; build systems that still work when you are tired.",Various leadership authors,Think Like a CEO / CEO mindset,inspired_by,Leadership & Decisions,All,Inspired by Think Like a CEO / CEO mindset
5,Good leadership is less about control and more about creating direction.,Various leadership authors,Think Like a CEO / CEO mindset,inspired_by,Leadership & Decisions,All,Inspired by Think Like a CEO / CEO mindset
6,A clear goal becomes powerful when daily action gives it a deadline.,Napoleon Hill,Think and Grow Rich,inspired_by,Goals & Mindset,All,Inspired by Think and Grow Rich
7,Desire without a plan is only a wish with good marketing.,Napoleon Hill,Think and Grow Rich,inspired_by,Goals & Mindset,All,Inspired by Think and Grow Rich
8,Protect your mind from people who rehearse reasons you cannot succeed.,Napoleon Hill,Think and Grow Rich,inspired_by,Goals & Mindset,All,Inspired by Think and Grow Rich
9,Persistence turns ordinary effort into uncommon results.,Napoleon Hill,Think and Grow Rich,inspired_by,Goals & Mindset,All,Inspired by Think and Grow Rich
10,"Decide what you want, then make your habits vote for it every day.",Napoleon Hill,Think and Grow Rich,inspired_by,Goals & Mindset,All,Inspired by Think and Grow Rich
11,Your peace improves when you stop treating every opinion like an emergency.,Mark Manson,The Subtle Art of Not Giving a F*ck,inspired_by,Priorities & Perspective,All,Inspired by The Subtle Art of Not Giving a F*ck
12,"Choose carefully what deserves your energy; you cannot care deeply about everything.",Mark Manson,The Subtle Art of Not Giving a F*ck,inspired_by,Priorities & Perspective,All,Inspired by The Subtle Art of Not Giving a F*ck
13,"A better life is not problem-free; it is filled with problems worth solving.",Mark Manson,The Subtle Art of Not Giving a F*ck,inspired_by,Priorities & Perspective,All,Inspired by The Subtle Art of Not Giving a F*ck
14,Stop chasing approval from people who do not share your values.,Mark Manson,The Subtle Art of Not Giving a F*ck,inspired_by,Priorities & Perspective,All,Inspired by The Subtle Art of Not Giving a F*ck
15,Maturity is choosing your struggles instead of pretending you should have none.,Mark Manson,The Subtle Art of Not Giving a F*ck,inspired_by,Priorities & Perspective,All,Inspired by The Subtle Art of Not Giving a F*ck
